East Germany, Period fertility rates by calendar year, age and birth cohort (Lexis triangles)
Last modified: 04/02/2019
Year   Age   Cohort      ASFR
1966   53     1913    0.00001
1966   53     1912    0.00000
1966   54     1912    0.00000
1966   54     1911    0.00000
1966   55+       .    0.00000
1967   12-       .    0.00000
1967   13     1954    0.00000
1967   13     1953    0.00000
1967   14     1953    0.00000
1967   14     1952    0.00018
1967   15     1952    0.00123
1967   15     1951    0.00310
1967   16     1951    0.00449
1967   16     1950    0.01624
1967   17     1950    0.02671
1967   17     1949    0.05528
1967   18     1949    0.07438
1967   18     1948    0.11935
1967   19     1948    0.14123
1967   19     1947    0.17212
1967   20     1947    0.18366
1967   20     1946    0.19755
1967   21     1946    0.19970
1967   21     1945    0.19619
1967   22     1945    0.19284
1967   22     1944    0.18416
1967   23     1944    0.17996
1967   23     1943    0.17316
1967   24     1943    0.16863
1967   24     1942    0.15828
1967   25     1942    0.15348
1967   25     1941    0.14467
1967   26     1941    0.14009
1967   26     1940    0.13091
1967   27     1940    0.12637
1967   27     1939    0.11736
1967   28     1939    0.11308
1967   28     1938    0.10491
1967   29     1938    0.10091
1967   29     1937    0.09314
1967   30     1937    0.08924
1967   30     1936    0.08143
1967   31     1936    0.07768
1967   31     1935    0.07024
1967   32     1935    0.06714
1967   32     1934    0.06180
1967   33     1934    0.05924
1967   33     1933    0.05434
1967   34     1933    0.05197
1967   34     1932    0.04759
1967   35     1932    0.04471
1967   35     1931    0.03787
1967   36     1931    0.03561
1967   36     1930    0.03246
1967   37     1930    0.03056
1967   37     1929    0.02653
1967   38     1929    0.02451
1967   38     1928    0.02064
1967   39     1928    0.01848
1967   39     1927    0.01409
1967   40     1927    0.01254
1967   40     1926    0.01020
1967   41     1926    0.00885
1967   41     1925    0.00622
1967   42     1925    0.00536
1967   42     1924    0.00412
1967   43     1924    0.00347
1967   43     1923    0.00229
1967   44     1923    0.00189
1967   44     1922    0.00135
1967   45     1922    0.00101
1967   45     1921    0.00047
1967   46     1921    0.00036
1967   46     1920    0.00025
1967   47     1920    0.00021
1967   47     1919    0.00014
1967   48     1919    0.00011
1967   48     1918    0.00007
1967   49     1918    0.00006
1967   49     1917    0.00004
1967   50     1917    0.00003
1967   50     1916    0.00002
1967   51     1916    0.00002
1967   51     1915    0.00001
1967   52     1915    0.00001
1967   52     1914    0.00001
1967   53     1914    0.00001
1967   53     1913    0.00000
1967   54     1913    0.00000
1967   54     1912    0.00000
1967   55+       .    0.00000
1968   12-       .    0.00000
1968   13     1955    0.00000
1968   13     1954    0.00000
1968   14     1954    0.00000
1968   14     1953    0.00016
1968   15     1953    0.00111
1968   15     1952    0.00295
1968   16     1952    0.00433
1968   16     1951    0.01521
1968   17     1951    0.02479
1968   17     1950    0.05180
1968   18     1950    0.07017
1968   18     1949    0.11341
1968   19     1949    0.13549
1968   19     1948    0.17242
